open_time,open,high,low,close,volume,close_time,quote_asset_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,ignore
1767225600000,87648.21000000,87701.91000000,87632.74000000,87701.91000000,18.44460000,1767225899999,1616915.59764780,4776,11.75992000,1030903.69066620,0
1767225900000,87701.91000000,87816.00000000,87701.90000000,87764.06000000,57.78717000,1767226199999,5071411.18659120,10412,35.96784000,3156416.54194960,0
1767226200000,87764.06000000,87764.07000000,87742.61000000,87742.61000000,9.86578000,1767226499999,865751.34324720,2065,5.09297000,446910.28803950,0
1767226500000,87742.62000000,87760.19000000,87742.61000000,87760.19000000,9.47001000,1767226799999,831024.09142960,2382,5.16852000,453547.44609760,0
1767226800000,87760.19000000,87774.00000000,87760.18000000,87773.97000000,4.62578000,1767227099999,406006.22422780,1941,2.55940000,224634.97292210,0
1767227100000,87773.98000000,87776.19000000,87768.50000000,87776.18000000,10.01792000,1767227399999,879299.45797680,1745,5.68695000,499154.23322280,0
1767227400000,87776.19000000,87776.19000000,87748.78000000,87748.79000000,30.28030000,1767227699999,2657409.86287400,2863,19.69929000,1728764.17103490,0
1767227700000,87748.78000000,87761.07000000,87733.98000000,87748.10000000,13.56688000,1767227999999,1190437.21038940,2745,8.66547000,760354.44644900,0
1767228000000,87748.09000000,87758.62000000,87746.50000000,87748.89000000,8.00349000,1767228299999,702314.61628790,1753,3.56885000,313165.77670640,0
1767228300000,87748.89000000,87813.18000000,87748.88000000,87813.17000000,10.14603000,1767228599999,890433.54798740,5201,8.41491000,738514.15395710,0
1767228600000,87813.18000000,87833.69000000,87800.00000000,87803.75000000,31.89071000,1767228899999,2800549.18880850,4191,23.83814000,2093417.96499130,0
1767228900000,87803.75000000,87849.26000000,87803.74000000,87809.23000000,29.56169000,1767229199999,2596394.43346860,4708,19.93681000,1750987.84799330,0
1767229200000,87809.24000000,87853.39000000,87809.23000000,87853.39000000,17.97079000,1767229499999,1578403.13916580,3446,16.01293000,1406417.72845010,0
1767229500000,87853.39000000,87957.14000000,87853.38000000,87957.14000000,40.76869000,1767229799999,3583906.74102130,8282,27.00146000,2373609.83432110,0
1767229800000,87957.13000000,88013.00000000,87942.50000000,88000.00000000,45.98845000,1767230099999,4045827.47456140,8725,34.23264000,3011535.12048650,0
1767230100000,88000.01000000,88050.00000000,87952.00000000,87952.85000000,32.35660000,1767230399999,2847628.45170510,10194,16.33874000,1437976.37544250,0
